K	alpha1	lambda1	coph	correlation	nfactor	optimal_run	optimal_obj
17	90	50	0.938819997553965	3.39532668586001	9.6	21	46111.1409794796
12	50	70	0.939186837204839	3.53065250128524	10.2	7	41804.6076042785
16	90	40	0.939702094401975	3.55736881028537	10.4333333333333	26	43112.5083434975
12	60	10	0.940060518562062	3.63932712258039	12	9	25579.3335285882
10	60	100	0.94020809543563	3.12840134637022	7.83333333333333	10	50653.9123554346
12	100	30	0.94026523627897	3.46649939588686	9.9	2	40624.3662063241
10	80	20	0.940594909918625	3.40439474369289	9.9	14	35195.1992646311
10	80	80	0.940647729403522	3.10583980435299	7.7	25	52080.297108942
11	30	60	0.940720382177324	3.57196071084068	10.9333333333333	15	35364.0663474507
16	60	80	0.940857890323249	3.36600864054378	9.26666666666667	4	46980.7734919557
10	70	40	0.940998694810359	3.38902884327509	9.6	14	40711.9814193095
16	60	70	0.941108183055455	3.52606548912458	10.2	10	45008.0302592003
11	100	20	0.941159656608426	3.48642900683027	9.96666666666667	7	36134.5784919429
16	60	60	0.941464933778325	3.56234588287346	10.5333333333333	30	42804.8150194302
12	30	20	0.941713575075983	3.64554488605925	12	12	25618.9858722097
14	50	80	0.941804014717215	3.49990793017133	10.1	9	44268.8829678006
12	70	50	0.941834620431647	3.46578117665628	10	16	42743.533913553
20	50	90	0.941886331222893	3.55332996710437	10.2666666666667	10	45856.1520855992
10	40	70	0.941893637341446	3.42432252810819	9.7	26	40723.3825168807
11	40	30	0.941956751218458	3.56174159391199	11	19	31833.7379753769
19	40	100	0.941965760775605	3.5790456774899	10.5	4	44224.1809711426
17	100	40	0.94216386280688	3.47592338658192	9.93333333333333	20	43903.5878086706
18	40	100	0.942248640433073	3.66363043165653	10.9333333333333	26	43578.0750942218
10	60	90	0.94225992334529	3.1839891375496	8.16666666666667	4	49191.0070859403
17	90	40	0.942279790949293	3.50484486676795	10.1666666666667	1	43107.309958606
20	10	40	0.942507035914219	4.71361673376261	20	26	13110.5536759344
11	40	80	0.942609365345713	3.5249417440144	10.1333333333333	6	41448.6745542855
20	100	40	0.942802638507544	3.46216745692528	10	9	44017.9051510002
12	50	20	0.942926196356558	3.65150998225676	11.9666666666667	3	28854.7177414699
11	20	100	0.942930756305694	3.64093530808507	10.9333333333333	20	36474.2449932508
20	70	70	0.942991154919856	3.40467277408714	9.5	18	47396.4837011018
